participant_id,session,file_name,trial_type,trial,phase,swap_count,choice,chosen_logo,rt_s,outcome,points,is_optimal,regret,usable,position_in_bandit_stream,food_bonus_cue,cue_type,target_rt_ms,adaptive_window_ms,target_hit,target_too_fast,target_no_response
1,1,sub-001_ses-001_1.csv,bandit,75.0,2.0,1.0,3.0,heart,0.5458,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,76.0,2.0,1.0,3.0,heart,0.4611,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,77.0,2.0,1.0,2.0,triangle,0.3297,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,78.0,2.0,1.0,3.0,heart,0.2909,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,79.0,2.0,1.0,1.0,circle,0.4106,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,80.0,2.0,1.0,1.0,circle,0.741,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,81.0,2.0,1.0,1.0,circle,0.5066,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,82.0,2.0,1.0,3.0,heart,0.2889,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,83.0,2.0,1.0,3.0,heart,0.4345,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,84.0,2.0,1.0,3.0,heart,0.6951,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,85.0,2.0,1.0,3.0,heart,0.4912,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,86.0,2.0,1.0,3.0,heart,0.4027,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,87.0,2.0,1.0,3.0,heart,0.4996,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,88.0,2.0,1.0,3.0,heart,0.4415,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,89.0,2.0,1.0,3.0,heart,0.4381,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,90.0,2.0,1.0,3.0,heart,0.5823,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,91.0,2.0,1.0,3.0,heart,0.4099,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,92.0,2.0,1.0,3.0,heart,0.4595,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,93.0,2.0,1.0,3.0,heart,0.536,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,94.0,2.0,1.0,3.0,heart,1.1709,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,95.0,2.0,1.0,2.0,triangle,0.2904,loss,-10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,96.0,2.0,1.0,2.0,triangle,0.9916,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,97.0,2.0,1.0,3.0,heart,0.6784,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,98.0,2.0,1.0,3.0,heart,0.3977,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,99.0,2.0,1.0,3.0,heart,0.4182,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,100.0,2.0,1.0,3.0,heart,0.4109,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,101.0,2.0,1.0,3.0,heart,0.3568,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,102.0,2.0,1.0,1.0,circle,0.562,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,103.0,2.0,1.0,1.0,circle,0.3456,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,104.0,2.0,1.0,1.0,circle,0.4424,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,105.0,2.0,1.0,1.0,circle,0.9874,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,106.0,2.0,1.0,1.0,circle,0.4412,loss,-10.0,0.0,20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,107.0,2.0,1.0,3.0,heart,0.6865,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,108.0,2.0,1.0,3.0,heart,0.3451,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,109.0,2.0,1.0,3.0,heart,0.5802,reward,10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,110.0,2.0,1.0,3.0,heart,0.4497,loss,-10.0,1.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,111.0,2.0,1.0,1.0,circle,0.3207,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,112.0,2.0,1.0,1.0,circle,0.5045,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,113.0,2.0,1.0,1.0,circle,0.3801,reward,10.0,0.0,-20.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,114.0,2.0,1.0,1.0,circle,0.9021,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,115.0,2.0,1.0,1.0,circle,0.4097,reward,10.0,0.0,0.0,True,,,,,,,,
1,1,sub-001_ses-001_1.csv,bandit,116.0,2.0,1.0,1.0,circle,0.5052,loss,-10.0,0.0,20.0,True,,,,,,,,
