trial,swap_count,choice_arm,reward,is_optimal,q_arm1_pre,q_arm2_pre,q_arm3_pre,q_chosen_pre,p_choose_arm1,p_choose_arm2,p_choose_arm3,p_chosen,prediction_error,alpha_used,rt,participant_id,session,file_name
25,0,1,1,1.0,0.9883830955956977,-0.5584605579645445,-0.9506899404612033,0.9883830955956977,0.9728946472126629,0.019752299640298038,0.007353053147039123,0.9728946472126629,0.011616904404302297,0.8052152389611741,0.8075,1,1,sub-001_ses-001_1.csv
26,0,1,1,1.0,0.997737204051597,-0.5584605579645445,-0.9506899404612033,0.997737204051597,0.9735092222555467,0.019304444543419796,0.007186333201033461,0.9735092222555467,0.0022627959484029514,0.8052152389611741,0.6437,1,1,sub-001_ses-001_1.csv
27,0,1,1,1.0,0.9995592418319107,-0.5584605579645445,-0.9506899404612033,0.9995592418319107,0.9736273448830669,0.0192183658433422,0.007154289273590847,0.9736273448830669,0.0004407581680893058,0.8052152389611741,0.5276,1,1,sub-001_ses-001_1.csv
28,0,1,0,1.0,0.9999141470255528,-0.5584605579645445,-0.9506899404612033,0.9999141470255528,0.9736502936686734,0.019201642530672684,0.007148063800653876,0.9736502936686734,-1.9999141470255528,0.7779413151016228,7.0565,1,1,sub-001_ses-001_1.csv
29,0,2,0,0.0,-0.555901694601846,-0.5584605579645445,-0.9506899404612033,-0.5584605579645445,0.4231111529376448,0.4203922913574867,0.15649655570486845,0.4203922913574867,-0.4415394420354555,0.7779413151016228,1.5688,1,1,sub-001_ses-001_1.csv
30,0,1,1,1.0,-0.555901694601846,-0.9019523321708436,-0.9506899404612033,-0.555901694601846,0.5592644413601376,0.23387984662801783,0.20685571201184444,0.5592644413601376,1.555901694601846,0.8052152389611741,0.3957,1,1,sub-001_ses-001_1.csv
31,0,1,1,1.0,0.696934060217075,-0.9019523321708436,-0.9506899404612033,0.696934060217075,0.9675316081763199,0.017229611614309824,0.015238780209370325,0.9675316081763199,0.30306593978292495,0.8052152389611741,0.4139,1,1,sub-001_ses-001_1.csv
32,0,1,1,1.0,0.9409673733403757,-0.9019523321708436,-0.9506899404612033,0.9409673733403757,0.9821769845106655,0.009457925614076572,0.00836508987525776,0.9821769845106655,0.05903262665962428,0.8052152389611741,0.3982,1,1,sub-001_ses-001_1.csv
33,0,1,1,1.0,0.9885013439226109,-0.9019523321708436,-0.9506899404612033,0.9885013439226109,0.984156639227064,0.008407406017072612,0.007435954755863439,0.984156639227064,0.011498656077389091,0.8052152389611741,0.4694,1,1,sub-001_ses-001_1.csv
34,0,1,1,1.0,0.9977602370236981,-0.9019523321708436,-0.9506899404612033,0.9977602370236981,0.9845162714109575,0.008216564324446141,0.007267164264596437,0.9845162714109575,0.0022397629763019067,0.8052152389611741,1.2704,1,1,sub-001_ses-001_1.csv
35,0,2,0,0.0,0.9995637283038774,-0.9019523321708436,-0.9506899404612033,-0.9019523321708436,0.9845853814865272,0.008179890510505296,0.007234728002967659,0.008179890510505296,-0.09804766782915642,0.7779413151016228,1.5164,1,1,sub-001_ses-001_1.csv
36,0,1,1,1.0,0.9995637283038774,-0.9782276638245047,-0.9506899404612033,0.9995637283038774,0.9859954219276054,0.006759489099970981,0.007245088972423635,0.9859954219276054,0.0004362716961225921,0.8052152389611741,0.3652,1,1,sub-001_ses-001_1.csv
37,0,1,1,1.0,0.9999150209219227,-0.9782276638245047,-0.9506899404612033,0.9999150209219227,0.9860076374433271,0.006753593124744611,0.007238769431928416,0.9860076374433271,8.497907807725191e-05,0.8052152389611741,0.3705,1,1,sub-001_ses-001_1.csv
38,0,1,1,1.0,0.9999834473705834,-0.9782276638245047,-0.9506899404612033,0.9999834473705834,0.9860100156170959,0.0067524452686945876,0.007237539114209582,0.9860100156170959,1.6552629416577425e-05,0.8052152389611741,0.3104,1,1,sub-001_ses-001_1.csv
39,0,1,1,1.0,0.9999967758000345,-0.9782276638245047,-0.9506899404612033,0.9999967758000345,0.9860104788027363,0.006752221706208606,0.007237299491054951,0.9860104788027363,3.2241999654569753e-06,0.8052152389611741,0.353,1,1,sub-001_ses-001_1.csv
40,0,1,1,1.0,0.9999993719749802,-0.9782276638245047,-0.9506899404612033,0.9999993719749802,0.9860105690224816,0.0067521781604922785,0.0072372528170261165,0.9860105690224816,6.280250197665538e-07,0.8052152389611741,0.2552,1,1,sub-001_ses-001_1.csv
41,0,1,1,1.0,0.9999998776702966,-0.9782276638245047,-0.9506899404612033,0.9999998776702966,0.9860105865958465,0.006752169678482544,0.007237243725671093,0.9860105865958465,1.2232970336700788e-07,0.8052152389611741,0.9756,1,1,sub-001_ses-001_1.csv
42,0,1,0,1.0,0.999999976172038,-0.9782276638245047,-0.9506899404612033,0.999999976172038,0.9860105900188676,0.006752168026317528,0.007237241954814988,0.9860105900188676,-1.999999976172038,0.7779413151016228,0.6371,1,1,sub-001_ses-001_1.csv
43,0,3,0,0.0,-0.5558826354944515,-0.9782276638245047,-0.9506899404612033,-0.9506899404612033,0.5831185221325853,0.20121318836296476,0.21566828950445,0.21566828950445,-0.04931005953879675,0.7779413151016228,0.3346,1,1,sub-001_ses-001_1.csv
44,0,2,0,0.0,-0.5558826354944515,-0.9782276638245047,-0.9890502730265541,-0.9782276638245047,0.5949382808429401,0.20529176114966602,0.19976995800739392,0.20529176114966602,-0.021772336175495344,0.7779413151016228,0.2349,1,1,sub-001_ses-001_1.csv
45,0,1,1,1.0,-0.5558826354944515,-0.9951652636617041,-0.9890502730265541,-0.5558826354944515,0.6000844897434587,0.1984175445396799,0.20149796571686135,0.6000844897434587,1.5558826354944515,0.8052152389611741,0.2495,1,1,sub-001_ses-001_1.csv
46,0,1,0,1.0,0.6969377726407546,-0.9951652636617041,-0.9890502730265541,0.6969377726407546,0.972403507490773,0.013691962780028039,0.013904529729198938,0.972403507490773,-1.6969377726407546,0.7779413151016228,0.3617,1,1,sub-001_ses-001_1.csv
47,0,1,1,1.0,-0.6231802298530127,-0.9951652636617041,-0.9890502730265541,-0.6231802298530127,0.5587948560259868,0.21890334098180367,0.22230180299220953,0.5587948560259868,1.6231802298530127,0.8052152389611741,0.5495,1,1,sub-001_ses-001_1.csv
48,0,1,1,1.0,0.6838292268051345,-0.9951652636617041,-0.9890502730265541,0.6838292268051345,0.9715033296849441,0.014138584792180275,0.014358085522875475,0.9715033296849441,0.31617077319486553,0.8052152389611741,0.3973,1,1,sub-001_ses-001_1.csv
49,0,1,1,1.0,0.9384147514957772,-0.9951652636617041,-0.9890502730265541,0.9384147514957772,0.984789497702723,0.007546670333203232,0.0076638319640738245,0.984789497702723,0.061585248504222756,0.8052152389611741,0.5279,1,1,sub-001_ses-001_1.csv
50,0,1,0,1.0,0.9880041320865882,-0.9951652636617041,-0.9890502730265541,0.9880041320865882,0.9865518412596962,0.006672285938895436,0.006775872801408359,0.9865518412596962,-1.9880041320865882,0.7779413151016228,0.5701,1,1,sub-001_ses-001_1.csv
51,0,1,1,1.0,-0.5585464168563123,-0.9951652636617041,-0.9890502730265541,-0.5585464168563123,0.5984729017159902,0.1992171317800315,0.20230996650397814,0.5984729017159902,1.5585464168563123,0.8052152389611741,0.9397,1,1,sub-001_ses-001_1.csv
52,0,1,1,1.0,0.6964189086247248,-0.9951652636617041,-0.9890502730265541,0.6964189086247248,0.9723684075160035,0.01370937758547705,0.013922214898519367,0.9723684075160035,0.3035810913752752,0.8052152389611741,0.4681,1,1,sub-001_ses-001_1.csv
53,0,1,1,1.0,0.940867029660561,-0.9951652636617041,-0.9890502730265541,0.940867029660561,0.9848817635893107,0.0075008927372060006,0.007617343673483142,0.9848817635893107,0.059132970339438984,0.8052152389611741,0.5044,1,1,sub-001_ses-001_1.csv
54,0,1,1,1.0,0.9884817985029164,-0.9951652636617041,-0.9890502730265541,0.9884817985029164,0.9865677977665548,0.006664369139398686,0.00676783309404637,0.9865677977665548,0.011518201497083602,0.8052152389611741,0.5379,1,1,sub-001_ses-001_1.csv
55,0,1,1,1.0,0.9977564298737935,-0.9951652636617041,-0.9890502730265541,0.9977564298737935,0.9868739421208185,0.0065124760282544705,0.006613581850926868,0.9868739421208185,0.0022435701262064622,0.8052152389611741,0.2545,1,1,sub-001_ses-001_1.csv
56,0,1,1,1.0,0.999562986729093,-0.9951652636617041,-0.9890502730265541,0.999562986729093,0.9869327682442026,0.00648328952596274,0.006583942229834808,0.9869327682442026,0.00043701327090694964,0.8052152389611741,0.5011,1,1,sub-001_ses-001_1.csv
57,0,1,1,1.0,0.9999148764744556,-0.9951652636617041,-0.9890502730265541,0.9999148764744556,0.9869441963683832,0.006477619477463878,0.006578184154153102,0.9869441963683832,8.512352554435054e-05,0.8052152389611741,0.5118,1,1,sub-001_ses-001_1.csv
58,0,1,1,1.0,0.999983419234418,-0.9951652636617041,-0.9890502730265541,0.999983419234418,0.98694642124493,0.006476515607946295,0.006577063147123578,0.98694642124493,1.6580765581974966e-05,0.8052152389611741,0.3703,1,1,sub-001_ses-001_1.csv
59,0,1,1,1.0,0.9999967703195383,-0.9951652636617041,-0.9890502730265541,0.9999967703195383,0.9869468545734394,0.006476300612587018,0.006576844813973486,0.9869468545734394,3.2296804617359953e-06,0.8052152389611741,0.3592,1,1,sub-001_ses-001_1.csv
60,0,1,1,1.0,0.999999370907463,-0.9951652636617041,-0.9890502730265541,0.999999370907463,0.986946938977578,0.006476258735586847,0.006576802286835251,0.986946938977578,6.290925369523137e-07,0.8052152389611741,0.5874,1,1,sub-001_ses-001_1.csv
61,0,1,0,1.0,0.9999998774623605,-0.9951652636617041,-0.9890502730265541,0.9999998774623605,0.986946955418155,0.006476250578616466,0.006576794003228366,0.986946955418155,-1.9999998774623604,0.7779413151016228,0.3976,1,1,sub-001_ses-001_1.csv
62,0,2,0,0.0,-0.5558826574137926,-0.9951652636617041,-0.9890502730265541,-0.9951652636617041,0.6000844764911121,0.198417551114814,0.201497972394074,0.198417551114814,-0.0048347363382958974,0.7779413151016228,1.1954,1,1,sub-001_ses-001_1.csv
63,0,1,1,1.0,-0.5558826574137926,-0.9989264048068877,-0.9890502730265541,-0.5558826574137926,0.6012094808740673,0.19691478974766632,0.20187572937826642,0.6012094808740673,1.5558826574137927,0.8052152389611741,0.4073,1,1,sub-001_ses-001_1.csv
64,0,1,1,1.0,0.6969377683712011,-0.9989264048068877,-0.9890502730265541,0.6969377683712011,0.9725290860869029,0.013564588368926449,0.013906325544170706,0.9725290860869029,0.30306223162879886,0.8052152389611741,0.4097,1,1,sub-001_ses-001_1.csv
65,0,1,1,1.0,0.9409680956322911,-0.9989264048068877,-0.9890502730265541,0.9409680956322911,0.9849552119581216,0.007428815711461671,0.007615972330416706,0.9849552119581216,0.05903190436770889,0.8052152389611741,1.4638,1,1,sub-001_ses-001_1.csv
