participant_id,session,task_version,trial_type,t_onset_s,seed,trial,swap_count,position1,position2,position3,p_reward_pos1,p_reward_pos2,p_reward_pos3,choice,chosen_logo,rt_s,choice_late,outcome,points,optimal_position,is_optimal,optimal_points,regret,cumulative_score,anticip_ms,isi_ms,cf_outcome_pos1,cf_outcome_pos2,cf_outcome_pos3,cf_points_pos1,cf_points_pos2,cf_points_pos3,bonus_trial_index,position_in_bandit_stream,food_set,cue_type,food_bonus_cue,cue_image,cue_duration_ms,anticipatory_delay_ms,adaptive_window_ms,target_response_key,target_rt_ms,premature_rt_ms,target_hit,target_miss,target_too_fast,target_no_response,bonus_points_earned,bonus_cumulative,bonus_hit_rate,cue_onset_ms,delay_onset_ms,target_onset_ms,response_ms,feedback_onset_ms,trigger_code
001,001,v12,bandit,234.015,3616709992,48,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.3973,0,reward,10,1,1,10,0,180,528,512,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,237.6983,3616709992,49,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5279,0,reward,10,1,1,10,0,190,611,663,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,241.8816,3616709992,50,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5701,0,loss,-10,1,1,-10,0,180,549,524,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_loss
001,001,v12,bonus_neutral,245.6148,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,50,sweet,neutral,0,stimuli/neutral/scramble_bandit_12.jpg,1500,2448,405,down,237,,1,0,0,0,15,90,0.75,1100,2617,5083,5320,5335,response
001,001,v12,bandit,252.4818,3616709992,51,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.9397,0,reward,10,1,1,10,0,190,526,584,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,256.8148,3616709992,52,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.4681,0,reward,10,1,1,10,0,200,699,414,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,260.6315,3616709992,53,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5044,0,reward,10,1,1,10,0,210,636,477,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,264.5148,3616709992,54,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5379,0,reward,10,1,1,10,0,220,599,536,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,268.4481,3616709992,55,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.2545,0,reward,10,1,1,10,0,230,494,658,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bandit,272.1314,3616709992,56,0,circle,triangle,heart,0.8,0.5,0.3,1,circle,0.5011,0,reward,10,1,1,10,0,240,621,578,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,bandit_win
001,001,v12,bonus_food,276.1481,3616709992,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,56,sweet,food_sweet,1,stimuli/win/sweet/sweet_bandit_119.jpg,1500,2453,390,left,243,,1,0,0,0,15,105,0.778,1116,2633,5117,5360,5368,response
